Week Start,Top Song,Top Song Artist,Top Song Minutes,Total Minutes Played,Avg Tempo (Weighted),Avg Danceability (Weighted),Lowest Tempo Song,Lowest Tempo,Lowest Danceability Song,Lowest Danceability,Highest Tempo Song,Highest Tempo,Highest Danceability Song,Highest Danceability,Tracks With Features,Total Tracks
2024-03-04,Pressure,Ellie Dixon,386.56,1561.72,102.48,0.738,MAMBO,76.03,Bad Moon Rising,0.508,I'm So Excited,184.35,Thank You (Falettinme Be Mice Elf Agin) - Single Version,0.9,54,75
2024-03-11,White Noise Boys,Airways,197.67,821.93,126.26,0.765,Gameboy,75.95,Landslide,0.415,Eszett,179.9,Cocoa Butter Kisses,0.946,18,28
2024-03-18,Moon Girl,Ark Woods,592.86,1331.41,103.43,0.708,These Words (Again),74.9,Lonely,0.486,Morirò da Re,193.79,Cocoa Butter Kisses,0.946,48,60
2024-03-25,鬼ノ宴,友成空,961.66,2117.13,139.78,0.655,Moon Girl,81.0,point street,0.516,point street,165.02,Something in the Moon,0.916,15,24
2024-04-01,Capybara,Bunny Clogs,414.44,2604.65,137.35,0.694,I Wanna Be Yours,67.53,Premier Inn,0.324,Morirò da Re,193.79,Cocoa Butter Kisses,0.946,108,151
2024-04-08,Green Honda,BENEE,341.25,1220.24,133.24,0.743,MAMBO,76.03,STILL TALKIN,0.498,Capybara,170.1,Something in the Moon,0.916,60,95
2024-04-15,Black Cherri,Suzi Wu,430.74,2044.14,148.09,0.638,touch grass,77.53,Hayloft II,0.326,goner,199.84,GET USED TO ME,0.961,159,210
2024-04-22,Anarchist - Demo,The Valla,248.28,2135.13,129.58,0.652,If I Ever Build a House,56.7,Digital Silence,0.312,Hangman Flows,202.07,not exactly happy.,0.975,276,372
2024-04-29,Fantasy,Mitchell Zia,336.49,3057.95,131.42,0.677,"Hawatari Nioku Centi (From ""Chainsaw Man"")",74.22,Kiss The Go-Goat,0.195,Saltwater,204.22,DEATH,0.965,312,411
2024-05-06,Too Sweet,Hozier,280.83,3745.11,124.77,0.693,Go Fuck Yourself,74.93,Degrade Me,0.266,Sunset,203.83,Uninvited,0.956,328,426
2024-05-13,hotline,bby,277.09,2864.44,132.27,0.674,"We All Lift Together (From ""Warframe"")",67.18,Seven Nation Army,0.293,Hangman Flows,202.07,Climate Crisis Love Song,0.977,282,376
2024-05-20,Guava Jelly,Royce Fisherman,242.71,2054.74,130.98,0.679,Dream On,78.03,I Won't Hold My Breath,0.284,Wild Boy,183.86,Lottery,0.899,112,130
2024-05-27,Hello,HEYKRIS,438.23,2658.15,127.66,0.648,My Own Summer (Shove It),71.84,Change (In the House of Flies),0.269,goner,199.84,Jamming,0.941,151,185
2024-06-03,Zittern,Yu,161.53,2246.98,127.53,0.67,"We All Lift Together (From ""Warframe"")",67.18,Degrade Me,0.266,Sunset,203.83,GET USED TO ME,0.961,381,500
2024-06-10,Story,ghstpunk,418.21,3070.46,118.52,0.716,Mountain Vibes,64.9,I Won't Hold My Breath,0.284,candyflips!,190.2,Don't Forget the T,0.938,227,306
2024-06-17,I Need A Break,Ryan King,191.57,2984.43,130.86,0.71,Sexist,60.6,Firestarters,0.309,d e a d,182.15,DO WHAT I DO,0.945,74,95
2024-06-24,All For You,Kiksio,433.49,2637.84,128.23,0.7,THE PROBLEM,72.14,Degrade Me,0.266,Sinking Sand,196.18,Climate Crisis Love Song,0.977,314,430
2024-07-01,Like A Bullet,Stefanie Heinzmann,107.61,1475.98,129.68,0.703,"We All Lift Together (From ""Warframe"")",67.18,Side Effect,0.376,Hangman Flows,202.07,GET USED TO ME,0.961,254,329
2024-07-08,Like A Bullet,Stefanie Heinzmann,369.75,1867.55,130.42,0.744,THE PROBLEM,72.14,I Won't Hold My Breath,0.284,Morirò da Re,193.79,Climate Crisis Love Song,0.977,207,279
2024-07-15,Save Our Breath,Jonny Lucas,198.03,1326.9,122.76,0.695,THE PROBLEM,72.14,Autopilot,0.408,Sunset,203.83,Climate Crisis Love Song,0.977,227,310
2024-07-22,Chronic,Levi Evans,521.76,1224.04,129.7,0.718,"Hawatari Nioku Centi (From ""Chainsaw Man"")",74.22,Into The Otherside,0.377,Sunset,203.83,Cocoa Butter Kisses,0.946,79,107
2024-07-29,little miss misogyny,audalei,177.09,1719.33,127.68,0.707,Street Brawling Millionaire,73.0,Digital Silence,0.312,Morirò da Re,193.79,DEATH,0.965,320,429
2024-08-05,BACKSTEP(backstab),LeGrand,72.03,994.39,127.48,0.689,"We All Lift Together (From ""Warframe"")",67.18,"Soldier, Poet, King",0.347,Life In America,205.98,Scatterbrain,0.938,197,272
2024-08-12,WOT?,Cody Frost,87.33,1003.98,128.47,0.682,PSYCHO,75.12,Degrade Me,0.266,Never Ever,181.93,not exactly happy.,0.975,214,287
2024-08-19,WOT?,Cody Frost,49.0,865.28,132.27,0.677,PSYCHO,75.12,Degrade Me,0.266,Hated,192.07,Crazy Rap (Colt 45 & 2 Zig Zags),0.927,183,258
2024-08-26,Praying Mantis,Jazz Alonso,192.97,1728.61,137.3,0.664,ITLL BE OKAY,75.02,I Won't Hold My Breath,0.284,Lay in Bed,207.73,Uninvited,0.956,350,462
2024-09-02,D.M.S,The Million,109.83,1538.17,127.86,0.664,THE PROBLEM,72.14,Hayloft II,0.326,Sinking Sand,196.18,DEATH,0.965,219,319
2024-09-09,seeker missile,dynastic,95.84,1796.73,124.68,0.67,Street Brawling Millionaire,73.0,Poison,0.28,Sunset,203.83,DEATH,0.965,336,470
2024-09-16,Everywhere I Go,Hollywood Undead,93.25,1688.7,126.23,0.713,YOU HAUNT ME,71.75,Bad Medicine,0.243,Sunset,203.83,BlindLife,0.959,357,479
2024-09-23,rusty,Layto,154.58,1871.59,127.08,0.679,YOU HAUNT ME,71.75,I Won't Hold My Breath,0.284,Sunset,203.83,GET USED TO ME,0.961,240,331
2024-09-30,Dirty Harry,Gorillaz,137.28,2156.48,132.11,0.683,YOU HAUNT ME,71.75,Degrade Me,0.266,AFTER DARK,201.97,Climate Crisis Love Song,0.977,261,351
2024-10-07,Breakdown,Archi,486.21,1948.99,139.1,0.707,Urban Downunder,66.81,The Sacred And The Profane,0.153,AFTER DARK,201.97,My Turn,0.97,66,77
2024-10-14,What Am I To Do?,Oliver Malcolm,300.76,1248.96,122.48,0.611,"We All Lift Together (From ""Warframe"")",67.18,Enemy,0.354,My Ordinary Life,175.95,Why's this dealer?,0.91,62,92
2024-10-21,I hope you hate me.,Dead Poet Society,307.7,1710.97,128.5,0.678,"We All Lift Together (From ""Warframe"")",67.18,Degrade Me,0.266,AFTER DARK,201.97,Climate Crisis Love Song,0.977,307,412
2024-10-28,It's Cool,First in Flight,122.74,1399.76,131.11,0.679,THE PROBLEM,72.14,Vulture Culture,0.293,Sunset,203.83,Climate Crisis Love Song,0.977,281,362
2024-11-04,Da Da Da - 甜妹版,芊芊龍,190.64,1574.07,127.53,0.739,1975,74.95,Hayloft II,0.326,Down The Rabbit Hole,209.96,5:20AM,0.947,207,271
2024-11-11,I Wish U Didn't Hate Me So Much,Kit Major,118.06,1646.69,131.83,0.676,YOU HAUNT ME,71.75,Acid Hologram,0.151,Sunset,203.83,not exactly happy.,0.975,347,455
2024-11-18,Beach Boulevard,London Mars,107.62,1293.97,127.67,0.676,Supernova,56.3,Seven Nation Army,0.293,Sunset,203.83,Climate Crisis Love Song,0.977,244,326
2024-11-25,UH YEAH [WAHNSiNN 01],TJ_beastboy,264.99,1545.25,139.83,0.685,PRETTY BOI,77.42,Digital Silence,0.312,Sunset,203.83,The Real Slim Shady,0.949,276,391
2024-12-02,Luvly,Belaganas,115.23,1895.81,126.49,0.705,YOU HAUNT ME,71.75,I Won't Hold My Breath,0.284,Sunset,203.83,not exactly happy.,0.975,350,469
2024-12-09,Rosaroter Tee,bac,288.23,1193.43,119.95,0.723,Street Brawling Millionaire,73.0,Digital Silence,0.312,Hangman Flows,202.07,DEATH,0.965,180,242
2024-12-16,Where's Your Head At,Basement Jaxx,40.0,2184.78,131.17,0.719,THE PROBLEM,72.14,I Won't Hold My Breath,0.284,MUGGLE,195.97,not exactly happy.,0.975,296,388
2024-12-23,Willy Wishbone,Cody Lawless,444.97,1033.58,138.73,0.685,Hate Thy Neighbour,78.61,SPINE,0.415,HEARTSTICKY!,195.94,not exactly happy.,0.975,35,48
2024-12-30,Rosaroter Tee,bac,41.29,1529.09,129.56,0.675,YOU HAUNT ME,71.75,Degrade Me,0.266,HEARTSTICKY!,195.94,Climate Crisis Love Song,0.977,310,416
2025-01-06,Lady Parts and Mannequins,mehro,116.25,2518.76,128.96,0.673,Superstar Sh*t,70.03,Ancient Flame,0.25,Sunset,203.83,not exactly happy.,0.975,474,636
2025-01-13,Arbitrage,Modern Alibi,126.25,2206.33,125.34,0.691,YOU HAUNT ME,71.75,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,399,526
2025-01-20,Liberate Me,DYLYN,144.41,1670.64,132.5,0.682,YOU HAUNT ME,71.75,Degrade Me,0.266,Monopoly Money,207.9,Climate Crisis Love Song,0.977,298,376
2025-01-27,Healthy Sex Drive,Die Shiny,303.44,1466.85,123.29,0.734,Compare Myself To You,65.28,Compare Myself To You,0.231,Monopoly Money,207.9,GET USED TO ME,0.961,206,282
2025-02-03,ANYTHING 4 U,Naethan Apollo,155.78,837.98,123.82,0.726,Terry's Taxidermy,62.0,Monopoly Money,0.29,Monopoly Money,207.9,Cocoa Butter Kisses,0.946,193,234
2025-02-10,Hell Breaks Loose,Dalton Deschain & the Traveling Show,106.36,2487.36,128.38,0.673,memories we memories we share,52.98,Monopoly Money,0.29,Shades of Grey,218.44,Uninvited,0.956,232,289
2025-02-17,A N X I E T Y (feat. Doechii),Sleepy Hallow,39.3,1582.44,133.26,0.677,YOU HAUNT ME,71.75,Monopoly Money,0.29,Monopoly Money,207.9,MICHELIN CLUB,0.953,155,199
2025-02-24,deep dream,Sick Joy,144.66,1325.29,125.62,0.654,Call Me Devil,62.47,Monopoly Money,0.29,Monopoly Money,207.9,BlindLife,0.959,205,266
2025-03-03,You Don't Know Me (feat. RAYE),Jax Jones,52.24,1610.36,129.55,0.683,YOU HAUNT ME,71.75,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,304,389
2025-03-10,Anxiety,Doechii,96.97,1255.74,127.27,0.691,I Don't Mind It,74.96,Monopoly Money,0.29,Monopoly Money,207.9,My Doctor,0.93,110,133
2025-03-17,Running Around,Ely Oaks,306.03,1511.78,140.02,0.67,1975,74.95,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,196,259
2025-03-24,Flip The Bird,Downsyde,257.64,1116.15,120.95,0.709,THE PROBLEM,72.14,Hayloft II,0.326,Hangman Flows,202.07,GET USED TO ME,0.961,201,255
2025-03-31,Now It's Over,Dogpark,151.32,1631.61,127.31,0.684,Street Brawling Millionaire,73.0,Eternal Waltz,0.176,Sunset,203.83,DEATH,0.965,289,372
2025-04-07,Monster,YOASOBI,35.15,1343.8,126.96,0.686,YOU HAUNT ME,71.75,Degrade Me,0.266,Sunset,203.83,not exactly happy.,0.975,296,390
2025-04-14,Runaway,witchgang,166.55,1371.21,121.52,0.675,YOU HAUNT ME,71.75,I Won't Hold My Breath,0.284,Sinking Sand,196.18,ICON KILLER,0.958,257,349
2025-04-21,No Care,Daughter,154.11,1760.16,129.52,0.7,MAMBO,76.03,Kinda Scary,0.426,goner,199.84,MICHELIN CLUB,0.953,149,198
2025-04-28,Get Movin' (Feet Don't Fail Me Now),Cut Capers,123.74,1534.63,126.72,0.673,I Don't Mind It,74.96,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,215,278
2025-05-05,No Hat No Play,Playlunch,71.23,1244.46,128.98,0.689,1975,74.95,Degrade Me,0.266,Monopoly Money,207.9,Me Too,0.934,292,380
2025-05-12,NEWSGIRL,Logan Levi,55.57,1516.18,128.22,0.665,Man Made Myth,51.06,Signore dei Lupi - from Arknights,0.304,National Treasure,205.98,not exactly happy.,0.975,370,461
2025-05-19,Vaitimbora,Mariana Froes,126.23,1795.76,125.33,0.691,Sleeping On The Ceiling,74.96,Villain,0.304,Sinking Sand,196.18,not exactly happy.,0.975,317,424
2025-05-26,Planet X,Calimossa,177.93,1322.68,127.47,0.685,"We All Lift Together (From ""Warframe"")",67.18,Degrade Me,0.266,goner,199.84,DEATH,0.965,273,362
2025-06-02,Planet X,Calimossa,123.95,1947.6,126.42,0.67,YOU HAUNT ME,71.75,Digital Silence,0.312,VERLASS MICH NICHT,202.05,The Real Slim Shady,0.949,310,409
2025-06-09,Planet X,Calimossa,196.1,1193.45,132.79,0.662,tied up,74.99,Hayloft II,0.326,goner,199.84,Climate Crisis Love Song,0.977,114,136
2025-06-16,NEWSGIRL,Logan Levi,68.07,1087.72,131.35,0.672,DEAD BEATS,75.43,Degrade Me,0.266,HEARTSTICKY!,195.94,Temperature,0.951,248,313
2025-06-23,Church (feat. Teddy Verseti),T-Pain,95.66,1516.91,128.09,0.674,"We All Lift Together (From ""Warframe"")",67.18,Degrade Me,0.266,Hangman Flows,202.07,Hot,0.978,201,278
2025-06-30,Hey You,C.U.T.,193.55,1317.12,125.61,0.696,Street Brawling Millionaire,73.0,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,277,362
2025-07-07,discothèque with u,Tiavo,362.56,1324.53,144.26,0.605,"Hawatari Nioku Centi (From ""Chainsaw Man"")",74.22,Degrade Me,0.266,Sunset,203.83,DEATH,0.965,241,307
2025-07-14,Sweet Sun,Milky Chance,160.03,2007.61,127.32,0.658,Dead Ends,74.94,Degrade Me,0.266,Monopoly Money,207.9,Climate Crisis Love Song,0.977,351,495
2025-07-21,Sweet Sun,Milky Chance,52.95,622.89,123.15,0.702,THE PROBLEM,72.14,Monopoly Money,0.29,Monopoly Money,207.9,BlindLife,0.959,137,176
2025-07-28,Grave Digger,Naethan Apollo,39.68,861.19,121.84,0.722,Oh No!!,79.99,Bad Attitude,0.385,BRAINROT,184.04,MICHELIN CLUB,0.953,68,94
2025-08-04,Rich Girls in Destin,Swang,313.77,1553.85,125.41,0.747,THE PROBLEM,72.14,Monopoly Money,0.29,Monopoly Money,207.9,Wenn du tanzt,0.966,259,328
2025-08-11,Rich Girls in Destin,Swang,273.67,1535.05,125.08,0.726,"Noch ein bisschen draußen (ich hoffe, das passt)",77.55,Mind Mischief,0.25,Let Em' Out,187.68,Haunted Juke Joint Jam,0.96,158,193
2025-08-18,Ex Damages,Luca Malina,22.43,409.15,132.7,0.686,Daytoday,77.48,Change (In the House of Flies),0.269,Let Em' Out,187.68,not exactly happy.,0.975,85,110
2025-08-25,Ear to Ear,ANIMA!,176.74,1511.25,126.67,0.697,"Hawatari Nioku Centi (From ""Chainsaw Man"")",74.22,violet,0.262,AFTER DARK,201.97,GET USED TO ME,0.961,328,415
2025-09-01,Roadtrim Part 1,The Dead Pirates,62.02,622.53,137.03,0.685,Exoskeleton,82.46,Toccata,0.279,Sunset,203.83,Uninvited,0.956,67,82
2025-09-08,Walkin' Blues,Howlin Jackson,38.35,527.04,135.07,0.665,Awakening,73.62,Awakening,0.271,s.w.i.m.,202.09,Rich Girls in Destin,0.938,89,108
2025-09-15,Based,KAFVKA,153.89,1410.2,121.62,0.682,Street Brawling Millionaire,73.0,Animal,0.195,Morirò da Re,193.79,not exactly happy.,0.975,211,257
2025-09-22,Kein Bock,Tancred,61.21,1379.06,124.99,0.691,Little Wing,70.78,Free Bird,0.249,Hell N Back,209.69,The Real Slim Shady,0.949,242,324
2025-09-29,Kein Bock,Tancred,101.07,1975.32,125.27,0.718,Hand Me Downs,68.98,Come Back to Earth,0.272,s.w.i.m.,202.09,No Hope (The Frog Song),0.939,186,223
2025-10-06,Rock & Roll,Oliver Malcolm,226.64,2329.28,129.73,0.671,"We All Lift Together (From ""Warframe"")",67.18,Degrade Me,0.266,Monopoly Money,207.9,The Real Slim Shady,0.949,278,352
2025-10-13,Guava Jelly,Royce Fisherman,452.97,3246.06,124.85,0.716,YOU HAUNT ME,71.75,Toccata,0.279,Sunset,203.83,not exactly happy.,0.975,425,571
2025-10-20,Wolke 4,Philipp Dittberner,63.6,1207.3,127.15,0.705,Say My Peace,74.5,Chandelier,0.331,HEARTSTICKY!,195.94,Rich Girls in Destin,0.938,198,264
2025-10-27,Nein,MAS,120.06,1157.05,122.75,0.705,Fish on Land,66.01,Monopoly Money,0.29,Monopoly Money,207.9,DOOF DOOF,0.979,253,348
2025-11-03,Fish on Land,Blood Red Sun,213.49,1316.09,113.7,0.691,Fish on Land,66.01,Toccata,0.279,Falling Before You,205.6,BlindLife,0.959,196,267
2025-11-10,NOBODY,ZEP,194.21,1157.29,123.8,0.713,Fish on Land,66.01,Degrade Me,0.266,Show Me A Trick,200.89,Hold On,0.942,176,229
2025-11-17,OFF MY NUTTT,The Skinner Brothers,164.72,934.34,127.21,0.762,Fish on Land,66.01,Monopoly Money,0.29,Monopoly Money,207.9,White Rabbit,0.937,55,72
2025-11-24,No More Beer,Lipka,34.91,829.41,122.62,0.723,Fish on Land,66.01,jump the gun,0.372,BRAINROT,184.04,Little Lucille,0.964,77,101
2025-12-01,MOMENTUM,Max Volante,170.12,1173.92,131.09,0.692,THE PROBLEM,72.14,jump the gun,0.372,Depressing Summer,191.97,Climate Crisis Love Song,0.977,237,315
2025-12-08,Me No Evil,Abhi The Nomad,42.15,506.71,128.88,0.723,Fish on Land,66.01,Toccata,0.279,Monopoly Money,207.9,Lil Bit,0.97,123,163
